,pageTitle,sectionTitles,imageURL,question1,answer1,distractors1,question2,answer2,distractors2,question3,answer3,distractors3,question4,answer4,distractors4,imageQuestion,imageAnswerURL,imageDistractor1,imageDistractor2,imageDistractor3
0,David (Donatello),"Main,The bronze David",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Florence_-_David_by_Donatello.jpg/320px-Florence_-_David_by_Donatello.jpg,"Where is Donatello’s David located?

",Milan,"Florence, Venice, Rome",Who commissioned the statue according to scholars? ,Cosimo de’ Medici,"Pope Sixtus, Lorenzo de’ Medici, Michelozzo",What material is Donatello’s David made of?,bronze,"marble, gold, brass",Is David in Donatello’s sculpture smiling?,yes,no,Which one is Donatello's David?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bronze_David_by_Donatello-Bargello-4.jpg/320px-Bronze_David_by_Donatello-Bargello-4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Augustins_-_David_by_Antonin_Merci%C3%A9_%28D_2005_1%29.jpg/320px-Augustins_-_David_by_Antonin_Merci%C3%A9_%28D_2005_1%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/%27David%27_by_Michelangelo_Fir_JBU002.jpg/320px-%27David%27_by_Michelangelo_Fir_JBU002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/David%2C_Andrea_del_Verrocchio%2C_ca._1466-69%2C_Bargello_Florenz-01.jpg/320px-David%2C_Andrea_del_Verrocchio%2C_ca._1466-69%2C_Bargello_Florenz-01.jpg
1,Pincho,"Main,Basque Pintxo",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Bar_de_pinchos_Donosti_01.JPG/320px-Bar_de_pinchos_Donosti_01.JPG,In what part of Spain are pinchos traditionally consumed?,North,"South, East, West",Where are pinchos typically consumed?,Taverns/bars,"At home, On the street, In a restaurant",What is the usual base of a pincho?,Sliced bread,"Fruit, Potato cake, Corn patty","Why are they called ""pinchos""?",Because of the toothpick holding them together,"Because they are bite-sized, Because they are spicy, Because they are eaten with alcohol",Which is a pincho?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Pinchos_bermeo_2.JPG/320px-Pinchos_bermeo_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Seven_cheese_platter_in_party.jpg/320px-Seven_cheese_platter_in_party.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Hors_d%27oeuvre_by_Auriole_Potter.jpg/320px-Hors_d%27oeuvre_by_Auriole_Potter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Finger_food-_aubergine%27s_caviar_and_mint_cherry_tomatoes_%2829402673200%29.jpg/320px-Finger_food-_aubergine%27s_caviar_and_mint_cherry_tomatoes_%2829402673200%29.jpg
2,Caiman,"Main, Description, Behavior",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Caiman_yacare.jpg/320px-Caiman_yacare.jpg,Which is the largest caiman species in the world?,Black Caiman,"Spectacled Caiman, Yacare Caiman, Broad-Snouted Caiman",Which of the following is a natural predator of the caiman?,Anaconda,"Leopard, Gorilla, Hippo",How do a caiman's teeth compare to an alligator's teeth?,They are longer and slenderer,"They are shorter and sharper, They are wider and duller, They are smaller and more numerous",What kind of habitat does the caiman usually live in?,Watery jungle,"Dry plains, Open ocean, Rocky beaches",Which is a caiman?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Yacare_caiman_%28Caiman_yacare%29_2.jpg/320px-Yacare_caiman_%28Caiman_yacare%29_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/American_Alligator.jpg/320px-American_Alligator.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Biscayne_American_Crocodile_NPS1.jpg/320px-Biscayne_American_Crocodile_NPS1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Mugger_crocodile_%28Crocodylus_palustris%29.jpg/320px-Mugger_crocodile_%28Crocodylus_palustris%29.jpg
3,Pagoda,"Main, History",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Horyu-ji09s3200.jpg/320px-Horyu-ji09s3200.jpg,What did pagodas originally house?,sacred relics,"weapons, currency, food stores",What is the origin of the pagoda?,Stupa,"Vihara, Chaitya, Tumulus",What architectural feature characterizes the pagoda?,Gradual tiered eves,"Wooden structure, Symmetrical tiling and decorations, Sprawling single-story construction",How many stories does a pagoda usually have?,An odd number,"An even number, A lucky number, A royal number",Which is a pagoda?,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Sun_and_Moon_Pagodas_Guilin_November_2017_HDR.jpg/320px-Sun_and_Moon_Pagodas_Guilin_November_2017_HDR.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Great_stupa_in_Mindroling.jpg/320px-Great_stupa_in_Mindroling.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Kelenteng_Vihara_Buddha_Prabha.jpg/320px-Kelenteng_Vihara_Buddha_Prabha.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Cave_26%2C_Ajanta.jpg/320px-Cave_26%2C_Ajanta.jpg
4,Newgrange,Main,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Irelands_history.jpg/320px-Irelands_history.jpg,During which period was Newgrange built?,Neolithic,"Mesolithic period, Bronze Age, Iron Age",When is the entrance to Newgrange aligned with the rising sun?,Winter solstice,"Spring equinox, Summer solstice, Autumn equinox",What is the front retaining wall of the mound made of?,quartz cobblestones,"clay bricks, sandstone, tree trunks ",What is the shape of the passage tomb mound?,circle,"triangle, square, half-moon  ",Which is the Newgrange passage tomb?,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Newgrange_circular_mound.jpg/320px-Newgrange_circular_mound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/The_burial_mound_of_the_Plataeans_in_Marathon_on_January_15%2C_2019.jpg/320px-The_burial_mound_of_the_Plataeans_in_Marathon_on_January_15%2C_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Tustrup_jaettestue.jpg/320px-Tustrup_jaettestue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Knowth01.JPG/320px-Knowth01.JPG
5,Taos Pueblo,"Main, Architecture",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Taos_Pueblo_2017-05-05.jpg/320px-Taos_Pueblo_2017-05-05.jpg,What was the primary purpose of the north-side Pueblo when it was built?,defense,"religious structure, dwelling space, food storage",How many rooms do most of the homes in the Taos Pueblo contain?,two,"one, three, five",How are houses built in the Pueblo positioned in relation to each other?,Stacked on top of each other,"Lined up in rows, Organized in a circle, Isolated from each other",What were the Taos Pueblo walls constructed out of?,Reddish-brown adobe,"spruce logs, white limestone, tightly-woven branches",Which is the Taos Pueblo?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/USA_09669_Taos_Pueblo_Luca_Galuzzi_2007.jpg/320px-USA_09669_Taos_Pueblo_Luca_Galuzzi_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Mesa_verde_cliff_palace_close.jpg/320px-Mesa_verde_cliff_palace_close.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/San_Francisco_de_Asis_Mission_Church.JPG/320px-San_Francisco_de_Asis_Mission_Church.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/The_Cliffs_at_Puye_Cliff_Dwellings_in_Espanola%2C_New_Mexico.jpg/320px-The_Cliffs_at_Puye_Cliff_Dwellings_in_Espanola%2C_New_Mexico.jpg
6,Carolina Reaper,"Main, Pungency, Cultivation",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Carolina_Reaper_pepper_pods.jpg/320px-Carolina_Reaper_pepper_pods.jpg,How many Scotville Heat Units (SHU) did the hottest individual Carolina Reaper measure?,2.2 million SHU,"1.6 million SHU, 4 million SHU, 500 thousand SHU",The Carolina Reaper has been described as having what kind of taste?,fruity,"sour, bitter, salty","When fully ripe, about how big is a Carolina Reaper pepper?",Size of your palm,"Size of your thumbnail, size of your finger, size of your arm",What texture is the Carolina Reaper Pepper?,bumpy,"smooth, rough, fuzzy",Which is a Carolina Reaper pepper?,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Carolina_Reaper_Pflanze.jpg/320px-Carolina_Reaper_Pflanze.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Moruga_Trinidad_Scorpion_ripe.JPG/320px-Moruga_Trinidad_Scorpion_ripe.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Peach_Bhut_Jolokia_Ghost_Pepper.jpg/320px-Peach_Bhut_Jolokia_Ghost_Pepper.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Purple_Bhut_Jolokia_Ghost_Pepper.jpg/320px-Purple_Bhut_Jolokia_Ghost_Pepper.jpg
7,Akara,"Main, History",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/320px-Acaraje-Baiana.jpg,"In the Yoruba culture, akara was specially prepared when what event occurred?",Death of a person who has come of Age,"Wedding, Birth of a child, Rite of passage",In which state is the dish traditionally encountered in Brazil?,Bahia,"Minas Gerais, Rio de Janeiro, São Paulo",Acarajé is made from cooked and mashed cowpeas deep-fried in what kind of oil?,palm,"vegetable, olive, sesame",What is the difference between acarajé and abara?,Abara's ingredients are boiled while acarajé is deep-fried,"Abara is vegetarian while acarajé contains meat, Abara is a religious offering to the gods in the Candomblé religion, Abara is served with hot peppers and is very spicy while acarajé is not",Which is akara?,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Beans_Ball-Akara.jpg/320px-Beans_Ball-Akara.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Westweg_Louisiana_September_2017_37.jpg/320px-Westweg_Louisiana_September_2017_37.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Zin_Deoi.jpg/320px-Zin_Deoi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Falafel_balls.jpg/320px-Falafel_balls.jpg
8,Ingapirca,"Main, History",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Ingapirca_03.jpg/320px-Ingapirca_03.jpg,Who originally settled the area of Ingapirca?,Cañari,"Inca, Quichua, Quitu",What modern-day Ecuadorian city did the Inca Túpac Yupanqui improve as a political strategy to conquer the indigenous people of Ingapirca?,Cuenca,"Quito, El Tambo, Riobamba",What is the shape of the Temple of the Sun?,Elliptical,"Triangle, Square, Half-moon","What does it mean that the Temple of the Sun was constructed in the ""Inca way""?",using chiseled stones without mortar,"using molded stone bricks and cement, using thick walls of clay, using a pyramidal structure",Which is Ingapirca?,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ingapirca_04.jpg/320px-Ingapirca_04.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/The_Roman_ruins_of_S%C3%A3o_Cucufate%2C_with_the_principal_elevation_of_the_villa_%C3%81ulica%2C_Portugal_%2816613974300%29.jpg/320px-The_Roman_ruins_of_S%C3%A3o_Cucufate%2C_with_the_principal_elevation_of_the_villa_%C3%81ulica%2C_Portugal_%2816613974300%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Daufuskie_Island_-_shell_structure_2.jpg/320px-Daufuskie_Island_-_shell_structure_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Chacchoben_-_Maya_ruins_2020_-_Pyramid.jpg/320px-Chacchoben_-_Maya_ruins_2020_-_Pyramid.jpg
9,Cafe du Monde,"Main, History",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Beignets_and_Caf%C3%A9_au_Lait_at_Caf%C3%A9_du_Monde%2C_New_Orleans.jpg/320px-Beignets_and_Caf%C3%A9_au_Lait_at_Caf%C3%A9_du_Monde%2C_New_Orleans.jpg,What special ingredient is added to the coffee at Café du Monde?,chicory,"endive, dandelion, maca",Who brought beignets to New Orleans in the 18th century?,Acadians (Cajun),"French, Haitians, Spanish",What are beignets served with at Café du Monde?,Powdered sugar,"jam, maple syrup, fresh fruit",What shape are Café du Monde beignets?,square,"circle, triangle, twist",Which is a beignet from Cafe du Monde?,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/BeignetsPowderdSugarCDM.jpg/320px-BeignetsPowderdSugarCDM.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Funnel_cake_20040821_172200_1.1655x1275.jpg/320px-Funnel_cake_20040821_172200_1.1655x1275.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Frittelle_di_carnevale.jpg/320px-Frittelle_di_carnevale.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Pastry-Donut-Jelly-Powdered.jpg/320px-Pastry-Donut-Jelly-Powdered.jpg
